Date,Open,High,Low,Close,Volume
7-Oct-16,5403.84,5409.20,5363.47,5377.15,-
6-Oct-16,5428.45,5447.26,5390.09,5409.34,-
5-Oct-16,5458.00,5460.16,5399.22,5420.65,-
4-Oct-16,5475.63,5482.84,5460.71,5472.32,-
3-Oct-16,5403.86,5463.92,5403.86,5463.92,-
30-Sep-16,5412.38,5437.97,5364.80,5364.80,-
29-Sep-16,5442.82,5474.31,5431.96,5431.96,-
28-Sep-16,5390.76,5432.98,5382.24,5425.34,-
27-Sep-16,5336.55,5419.60,5295.66,5419.60,-
26-Sep-16,5375.16,5375.88,5337.02,5352.14,-
23-Sep-16,5375.71,5388.91,5355.92,5388.91,-
22-Sep-16,5382.32,5411.61,5368.56,5380.26,-
21-Sep-16,5295.88,5348.00,5275.18,5342.59,-
20-Sep-16,5323.30,5336.25,5298.28,5302.49,-
19-Sep-16,5289.12,5331.97,5286.14,5321.84,-
16-Sep-16,5287.42,5305.09,5252.26,5267.77,-
15-Sep-16,5160.75,5270.49,5158.73,5265.82,-
14-Sep-16,5188.40,5189.36,5128.17,5146.04,-
13-Sep-16,5266.11,5268.54,5211.87,5215.57,-
9-Sep-16,5355.34,5358.51,5281.92,5281.92,-
8-Sep-16,5383.06,5383.54,5364.61,5371.08,-
7-Sep-16,5382.22,5393.09,5357.52,5381.35,-
6-Sep-16,5363.04,5373.21,5342.56,5372.10,-
5-Sep-16,5378.62,5396.92,5347.59,5356.95,-
2-Sep-16,5323.57,5359.91,5323.04,5353.46,-
1-Sep-16,5368.52,5376.64,5320.08,5334.55,-
31-Aug-16,5355.12,5399.16,5353.29,5386.08,-
30-Aug-16,5368.57,5388.64,5336.71,5362.32,-
29-Aug-16,5425.15,5426.22,5348.05,5370.76,-
26-Aug-16,5454.07,5456.64,5419.74,5438.83,-
25-Aug-16,5413.99,5454.12,5412.53,5454.12,-
24-Aug-16,5406.80,5418.45,5385.24,5403.99,-
23-Aug-16,5434.04,5438.50,5351.07,5417.14,-
22-Aug-16,5425.90,5435.19,5398.80,5427.18,-
19-Aug-16,5468.01,5470.98,5416.04,5416.04,-
18-Aug-16,5387.77,5461.45,5386.12,5461.45,-
16-Aug-16,5341.93,5377.42,5338.64,5371.85,-
15-Aug-16,5390.02,5396.95,5296.59,5320.56,-
12-Aug-16,5432.83,5449.06,5366.34,5377.20,-
11-Aug-16,5438.09,5455.80,5397.31,5419.09,-
10-Aug-16,5439.76,5457.12,5405.89,5423.95,-
9-Aug-16,5459.89,5476.22,5428.68,5440.29,-
8-Aug-16,5435.21,5458.98,5427.27,5458.98,-
5-Aug-16,5380.11,5427.52,5377.42,5420.25,-
4-Aug-16,5365.01,5389.61,5357.62,5373.86,-
3-Aug-16,5367.58,5383.50,5331.33,5351.88,-
2-Aug-16,5356.91,5386.56,5356.43,5373.32,-
1-Aug-16,5280.21,5368.25,5279.59,5361.58,-
29-Jul-16,5300.90,5334.12,5215.99,5215.99,-
