Date,Open,High,Low,Close,Volume
13-Oct-16,737.88,740.51,733.78,733.88,-
12-Oct-16,738.67,740.76,734.58,738.19,-
11-Oct-16,738.05,740.79,733.98,740.79,-
10-Oct-16,738.32,741.04,734.71,736.62,-
7-Oct-16,742.94,744.90,736.13,738.32,-
6-Oct-16,747.05,751.60,741.41,743.63,-
5-Oct-16,754.21,754.41,743.41,747.01,-
4-Oct-16,759.06,759.92,755.73,756.69,-
3-Oct-16,748.10,756.60,748.10,756.60,-
30-Sep-16,750.78,755.67,739.69,739.69,-
29-Sep-16,756.06,761.86,755.44,757.07,-
28-Sep-16,749.20,754.72,747.35,752.69,-
27-Sep-16,737.58,752.50,732.47,752.50,-
26-Sep-16,742.82,744.74,737.09,741.33,-
23-Sep-16,745.85,748.90,740.87,748.90,-
22-Sep-16,749.87,753.73,744.27,747.07,-
21-Sep-16,733.29,743.25,728.36,741.46,-
20-Sep-16,735.84,738.74,733.35,734.25,-
19-Sep-16,727.49,738.95,727.49,736.45,-
16-Sep-16,733.75,735.99,721.28,723.16,-
15-Sep-16,706.94,730.32,706.90,729.52,-
14-Sep-16,715.76,715.76,703.77,705.66,-
13-Sep-16,727.27,728.20,719.60,720.09,-
9-Sep-16,742.39,743.08,729.36,730.49,-
8-Sep-16,751.43,751.50,744.80,744.87,-
7-Sep-16,750.35,752.21,744.62,750.22,-
6-Sep-16,745.25,748.95,742.34,748.95,-
5-Sep-16,745.98,749.44,741.35,743.66,-
2-Sep-16,737.21,743.46,736.02,742.07,-
1-Sep-16,741.14,744.11,734.31,737.05,-
31-Aug-16,741.94,749.17,741.59,746.87,-
30-Aug-16,742.96,746.99,738.82,743.02,-
29-Aug-16,753.76,754.61,737.84,741.44,-
26-Aug-16,757.15,757.69,751.97,755.72,-
25-Aug-16,747.58,757.02,746.78,757.02,-
24-Aug-16,748.51,748.86,742.08,746.09,-
23-Aug-16,752.70,753.17,735.61,750.37,-
22-Aug-16,746.31,750.28,744.41,749.42,-
19-Aug-16,758.26,758.84,742.46,742.46,-
18-Aug-16,743.72,757.43,742.86,756.73,-
16-Aug-16,735.38,741.26,733.87,739.07,-
15-Aug-16,744.92,745.87,727.14,731.14,-
12-Aug-16,755.30,756.76,741.87,744.16,-
11-Aug-16,756.34,760.38,747.54,751.88,-
10-Aug-16,757.08,759.48,750.19,754.83,-
9-Aug-16,758.12,760.46,754.80,757.25,-
8-Aug-16,751.42,758.16,749.78,758.16,-
5-Aug-16,746.36,750.81,744.04,749.96,-
4-Aug-16,743.49,747.18,739.66,744.54,-
3-Aug-16,744.30,747.31,739.74,741.19,-
2-Aug-16,748.30,751.81,744.84,744.84,-
1-Aug-16,736.96,751.11,736.96,750.98,-
29-Jul-16,738.92,748.17,726.61,726.61,-
28-Jul-16,735.19,740.84,731.59,740.45,-
27-Jul-16,728.51,737.48,728.51,733.73,-
26-Jul-16,719.50,724.22,717.16,722.49,-
25-Jul-16,711.24,720.14,710.64,719.86,-
22-Jul-16,710.59,710.71,705.98,709.44,-
21-Jul-16,718.01,718.53,709.42,709.81,-
20-Jul-16,713.99,717.96,713.32,717.96,-
19-Jul-16,711.11,717.92,710.06,712.44,-
18-Jul-16,705.14,709.09,701.74,708.56,-
15-Jul-16,699.31,707.17,699.30,704.66,-
14-Jul-16,709.66,710.74,699.22,700.16,-
13-Jul-16,705.64,714.39,703.06,714.39,-
