Date,Open,High,Low,Close,Volume
7-Oct-16,932.36,933.23,922.34,924.82,-
6-Oct-16,937.58,941.40,930.22,933.75,-
5-Oct-16,942.92,943.77,931.62,935.61,-
4-Oct-16,946.77,947.79,942.78,946.52,-
3-Oct-16,932.04,943.82,932.04,943.82,-
30-Sep-16,934.76,941.11,922.20,922.20,-
29-Sep-16,944.26,948.74,939.69,939.69,-
28-Sep-16,933.37,942.15,931.07,939.86,-
27-Sep-16,920.93,940.64,911.09,940.64,-
26-Sep-16,929.91,930.08,921.11,924.85,-
23-Sep-16,929.43,933.37,924.53,933.37,-
22-Sep-16,931.34,936.20,928.01,930.58,-
21-Sep-16,914.06,923.48,908.48,921.34,-
20-Sep-16,919.58,921.69,913.94,915.72,-
19-Sep-16,912.96,922.52,912.13,919.21,-
16-Sep-16,912.85,915.68,904.14,907.59,-
15-Sep-16,885.07,908.67,883.60,907.43,-
14-Sep-16,888.66,888.66,879.59,881.38,-
13-Sep-16,902.50,904.16,895.00,895.48,-
9-Sep-16,920.91,921.55,906.48,906.48,-
8-Sep-16,928.32,928.37,923.75,924.86,-
7-Sep-16,928.74,930.16,922.23,927.89,-
6-Sep-16,921.66,926.20,918.16,926.20,-
5-Sep-16,925.65,928.31,918.99,920.14,-
2-Sep-16,913.02,920.91,912.52,919.34,-
1-Sep-16,920.55,922.73,912.55,915.77,-
31-Aug-16,921.16,929.70,920.67,924.96,-
30-Aug-16,923.44,927.14,917.79,922.96,-
29-Aug-16,934.15,934.26,918.10,923.99,-
26-Aug-16,941.30,941.38,933.30,937.59,-
25-Aug-16,931.53,941.31,931.18,941.31,-
24-Aug-16,929.64,932.65,925.46,929.02,-
23-Aug-16,935.67,936.56,918.42,932.24,-
22-Aug-16,933.88,935.40,927.36,933.95,-
19-Aug-16,944.09,944.61,931.41,931.41,-
18-Aug-16,926.92,942.44,926.40,942.44,-
16-Aug-16,917.42,925.10,916.53,922.92,-
15-Aug-16,924.74,925.64,907.53,912.06,-
12-Aug-16,932.59,935.34,919.48,921.52,-
11-Aug-16,934.74,937.71,923.96,929.14,-
10-Aug-16,936.20,938.69,927.20,931.19,-
9-Aug-16,941.00,944.22,933.39,936.33,-
8-Aug-16,935.82,940.77,933.33,940.77,-
5-Aug-16,926.35,934.69,926.01,932.19,-
4-Aug-16,924.02,927.34,920.87,924.78,-
3-Aug-16,925.47,926.85,916.00,920.73,-
2-Aug-16,924.93,929.28,923.84,926.91,-
1-Aug-16,908.95,928.03,908.78,926.10,-
29-Jul-16,914.13,921.17,892.84,892.84,-
28-Jul-16,911.81,914.00,905.28,913.71,-
27-Jul-16,907.43,917.80,907.43,910.78,-
26-Jul-16,899.51,903.76,896.32,902.20,-
25-Jul-16,895.67,901.12,894.78,900.14,-
22-Jul-16,898.41,898.49,889.64,894.63,-
21-Jul-16,906.71,909.18,898.86,898.86,-
20-Jul-16,894.23,905.85,894.23,905.85,-
19-Jul-16,881.91,895.32,881.72,891.05,-
18-Jul-16,876.92,881.44,872.39,880.56,-
15-Jul-16,873.89,880.76,873.08,877.49,-
14-Jul-16,883.65,884.41,871.85,872.22,-
13-Jul-16,880.52,885.71,875.77,885.71,-
12-Jul-16,878.02,883.28,871.47,877.16,-
11-Jul-16,862.89,875.17,861.90,872.25,-
1-Jul-16,863.45,865.07,850.30,850.52,-
30-Jun-16,860.61,865.16,857.89,860.72,-
29-Jun-16,839.78,855.68,839.78,855.68,-
28-Jun-16,823.01,836.42,822.93,833.85,-
27-Jun-16,817.02,825.92,815.70,822.99,-
24-Jun-16,831.93,833.72,807.88,824.62,-
23-Jun-16,835.92,836.56,826.91,831.00,-
22-Jun-16,832.33,836.62,832.33,835.93,-
21-Jun-16,832.39,835.48,830.36,832.79,-
20-Jun-16,828.20,829.93,822.23,829.93,-
17-Jun-16,823.24,825.74,817.82,824.58,-
16-Jun-16,821.26,823.22,817.56,820.42,-
15-Jun-16,820.46,821.26,815.62,820.16,-
14-Jun-16,817.37,825.18,816.57,823.04,-
13-Jun-16,825.01,825.70,819.76,819.76,-
10-Jun-16,836.28,837.57,827.49,827.49,-
9-Jun-16,844.03,844.92,834.93,834.93,-
8-Jun-16,847.49,849.85,839.21,844.79,-
