<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
02/12/2014,AALI,Astra Agro Lestari Tbk.,23225,23500,23125,23500,1256300
02/12/2014,ABBA,Mahaka Media Tbk.,119,119,118,118,50100
02/12/2014,ABDA,Asuransi Bina Dana Arta Tbk.,4000,4000,4000,4000,0
02/12/2014,ABMM,ABM Investama Tbk.,2975,2975,2975,2975,0
02/12/2014,ACES,Ace Hardware Indonesia Tbk.,780,815,780,810,21496500
02/12/2014,ACST,Acset Indonusa Tbk.,2100,2125,2100,2100,469000
02/12/2014,ADES,Akasha Wira International Tbk.,2025,2040,2015,2035,184100
02/12/2014,ADHI,Adhi Karya (Persero) Tbk.,1642,1650,1621,1625,35426166
02/12/2014,ADMF,Adira Dinamika Multi Finance Tbk.,8700,8700,8700,8700,400
02/12/2014,ADMG,Polychem Indonesia Tbk,211,220,209,218,4633600
02/12/2014,ADRO,Adaro Energy Tbk.,955,955,935,940,83501800
02/12/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,115,116,111,114,1074967
02/12/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,155,155,155,155,29153
02/12/2014,AIMS,Akbar Indo Makmur Stimec Tbk,775,780,680,735,13200
02/12/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,1685,1705,1680,1680,2981800
02/12/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
02/12/2014,AKPI,Argha Karya Prima Industry Tbk.,750,750,750,750,300
02/12/2014,AKRA,AKR Corporindo Tbk.,4540,4540,4490,4500,8299900
02/12/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
02/12/2014,ALDO,Alkindo Naratama Tbk.,715,715,705,710,3435100
02/12/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
02/12/2014,ALMI,Alumindo Light Metal Industry Tbk.,297,320,297,320,2300
02/12/2014,ALTO,Tri Banyan Tirta Tbk.,555,555,555,555,3337900
02/12/2014,AMAG,Asuransi Multi Artha Guna Tbk.,208,208,206,206,6700
02/12/2014,AMFG,Asahimas Flat Glass Tbk.,6925,6925,6900,6900,41100
02/12/2014,AMRT,Sumber Alfaria Trijaya Tbk.,438,438,437,438,52400
02/12/2014,ANJT,Austindo Nusantara Jaya Tbk.,1645,1645,1645,1645,0
02/12/2014,ANTM,Aneka Tambang (Persero) Tbk.,874,890,869,869,79112979
02/12/2014,APEX,Apexindo Pratama Duta Tbk.,2585,2590,2585,2590,34200
02/12/2014,APIC,Pacific Strategic Financial Tbk.,530,535,530,530,7830300
02/12/2014,APII,Arita Prima Indonesia Tbk.,226,230,225,230,11000
02/12/2014,APLI,Asiaplast Industries Tbk.,59,62,59,60,458900
02/12/2014,APLN,Agung Podomoro Land Tbk.,229,237,228,233,49107400
02/12/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,50,50,50,1000
02/12/2014,ARGO,Argo Pantes Tbk,1200,1200,1200,1200,0
02/12/2014,ARII,Atlas Resources Tbk.,765,780,765,770,4204200
02/12/2014,ARNA,Arwana Citramulia Tbk.,840,865,840,860,8909700
02/12/2014,ARTA,Arthavest Tbk,205,205,205,205,0
02/12/2014,ARTI,Ratu Prabu Energi Tbk,174,176,174,176,14300
02/12/2014,ASBI,Asuransi Bintang Tbk.,500,550,500,550,2900
