Kode,Nama
AALI,Astra Agro Lestari Tbk.
ACES,Ace Hardware Indonesia Tbk.
ACST,Acset Indonusa Tbk.
ADES,Akasha Wira International Tbk.
ADHI,Adhi Karya (Persero) Tbk.
ADMG,Polychem Indonesia Tbk.
ADRO,Adaro Energy Tbk.
AIMS,Akbar Indo Makmur Stimec Tbk.
AISA,Tiga Pilar Sejahtera Food Tbk.
AKPI,Argha Karya Prima Industry Tbk.
AKRA,AKR Corporindo Tbk.
ALDO,Alkindo Naratama Tbk
ALKA,Alakasa Industrindo Tbk.
ALMI,Alumindo Light Metal Industry Tbk.
AMFG,Asahimas Flat Glass Tbk.
AMIN,Ateliers Mecaniques D'Indonesie Tbk.
ANJT,Austindo Nusantara Jaya Tbk.
ANTM,Aneka Tambang (Persero) Tbk.
APII,Arita Prima Indonesia Tbk.
APLI,Asiaplast Industries Tbk.
APLN,Agung Podomoro Land Tbk.
ARII,Atlas Resources Tbk
ARNA,Arwana Citramulia Tbk.
ARTA,Arthavest Tbk.
ASGR,Astra Graphia Tbk.
ASII,Astra International Tbk.
ASRI,Alam Sutera Realty Tbk.
ATIC,Anabatic Technologies Tbk.
ATPK,Bara Jaya Internasional Tbk.
AUTO,Astra Otoparts Tbk.
BALI,Bali Towerindo Sentra Tbk.
BAPA,Bekasi Asri Pemula Tbk.
BATA,Sepatu Bata Tbk.
BAYU,Bayu Buana Tbk.
BCIP,Bumi Citra Permai Tbk.
BEST,Bekasi Fajar Industrial Estate Tbk.
BIPP,Bhuwanatala Indah Permai Tbk.
BIRD,Blue Bird Tbk.
BISI,Bisi International Tbk.
BKDP,Bukit Darmo Property Tbk.
BKSL,Sentul City Tbk.
BMTR,Global Mediacom Tbk.
BOLT,Garuda Metalindo Tbk.
BRAM,Indo Kordsa Tbk.
BRNA,Berlina Tbk.
BRPT,Barito Pacific Tbk.
BSDE,Bumi Serpong Damai Tbk.
BSSR,Baramulti Suksessarana Tbk.
BTEK,Bumi Teknokultura Unggul Tbk.
BTON,Betonjaya Manunggal Tbk.
BUDI,Budi Starch & Sweetener Tbk.
BUKK,Bukaka Teknik Utama Tbk.
CANI,Capitol Nusantara Indonesia Tbk.
CASS,Cardig Aero Services Tbk.
CEKA,Wilmar Cahaya Indonesia Tbk.
CENT,Centratama Telekomunikasi Indonesia Tbk.
CINT,Chitose Internasional Tbk.
CKRA,Cakra Mineral Tbk.
CLPI,Colorpak Indonesia Tbk.
CMNP,Citra Marga Nusaphala Persada Tbk.
CMPP,Rimau Multi Putra Pratama Tbk.
CNKO,Exploitasi Energi Indonesia Tbk.
CPIN,Charoen Pokphand Indonesia Tbk.
CSAP,Catur Sentosa Adiprana Tbk.
CTBN,Citra Tubindo Tbk.
CTRA,Ciputra Development Tbk.
CTRP,Ciputra Property Tbk.
CTRS,Ciputra Surya Tbk.
CTTH,Citatah Tbk.
DART,Duta Anggada Realty Tbk.
DAYA,Duta Intidaya Tbk.
DEWA,Darma Henwa Tbk.
DGIK,Nusa Konstruksi Enjiniring Tbk.
DILD,Intiland Development Tbk.
DMAS,Puradelta Lestari Tbk.
DNET,Indoritel Makmur Internasional Tbk.
DPNS,Duta Pertiwi Nusantara Tbk.
DPUM,Dua Putra Utama Makmur Tbk.
DSFI,Dharma Samudera Fishing Industries Tbk.
DSSA,Dian Swastatika Sentosa Tbk.
DUTI,Duta Pertiwi Tbk.
DVLA,Darya-Varia Laboratoria Tbk.
DYAN,Dyandra Media International Tbk.
ECII,Electronic City Indonesia Tbk.
EKAD,Ekadharma International Tbk.
ELSA,Elnusa Tbk.
EMDE,Megapolitan Developments Tbk.
EPMT,Enseval Putra Megatrading Tbk.
ERAA,Erajaya Swasembada Tbk.
ESSA,Surya Esa Perkasa Tbk.
EXCL,XL Axiata Tbk.
FAST,Fast Food Indonesia Tbk.
FISH,FKS Multi Agro Tbk.
FMII,Fortune Mate Indonesia Tbk.
FPNI,Lotte Chemical Titan Tbk.
GAMA,Gading Development Tbk.
GDST,Gunawan Dianjaya Steel Tbk.
GDYR,Goodyear Indonesia Tbk.
GEMA,Gema Grahasarana Tbk.
GEMS,Golden Energy Mines Tbk.
GIAA,Garuda Indonesia (Persero) Tbk.
GMTD,Gowa Makassar Tourism Development Tbk.
GOLD,Golden Retailindo Tbk.
