SEKTOR;SUBSEKTOR;KODE_SAHAM
AGRICULTURE;CROPS;BISI
AGRICULTURE;PLANTATION;AALI
AGRICULTURE;PLANTATION;UNSP
AGRICULTURE;PLANTATION;BWPT
AGRICULTURE;PLANTATION;GZCO
AGRICULTURE;PLANTATION;LSIP
AGRICULTURE;PLANTATION;SGRO
AGRICULTURE;PLANTATION;SMAR
AGRICULTURE;PLANTATION;TBLA
AGRICULTURE;ANIMAL HUSBANDRY;CPDW
AGRICULTURE;ANIMAL HUSBANDRY;MBAI
AGRICULTURE;FISHERY;CPRO
AGRICULTURE;FISHERY;DSFI
AGRICULTURE;FISHERY;IIKP
AGRICULTURE;OTHER AGRICULTURE;BTEK
MINING;COAL MINING;ADRO
MINING;COAL MINING;ATPK
MINING;COAL MINING;BYAN
MINING;COAL MINING;BRAU
MINING;COAL MINING;BORN
MINING;COAL MINING;BUMI
MINING;COAL MINING;DEWA
MINING;COAL MINING;DOID
MINING;COAL MINING;GTBO
MINING;COAL MINING;HRUM
MINING;COAL MINING;ITMG
MINING;COAL MINING;PKPK
MINING;COAL MINING;PTRO
MINING;COAL MINING;KKGI
MINING;COAL MINING;PTBA
MINING;CRUDE PETROLEUM & NATURAL GAS PROD;BIPI
MINING;CRUDE PETROLEUM & NATURAL GAS PROD;ELSA
MINING;CRUDE PETROLEUM & NATURAL GAS PROD;ENRG
MINING;CRUDE PETROLEUM & NATURAL GAS PROD;MEDC
MINING;CRUDE PETROLEUM & NATURAL GAS PROD;RATU
MINING;CRUDE PETROLEUM & NATURAL GAS PROD;RUIS
MINING;METAL AND MINERAL MINING;ANTM
MINING;METAL AND MINERAL MINING;DKFT
MINING;METAL AND MINERAL MINING;CITA
MINING;METAL AND MINERAL MINING;INCO
MINING;METAL AND MINERAL MINING;TINS
MINING;LAND / STONE QUARRYNG;CTTH
MINING;LAND / STONE QUARRYNG;MIRA
MINING;LAND / STONE QUARRYNG;CNKO
BASIC INSUDTRY AND CHEMICALS;CEMENT;SMCB
BASIC INSUDTRY AND CHEMICALS;CEMENT;INTP
BASIC INSUDTRY AND CHEMICALS;CEMENT;SMGR
BASIC INSUDTRY AND CHEMICALS;CERAMICS GLASS AND PORCELAIN;ARNA
BASIC INSUDTRY AND CHEMICALS;CERAMICS GLASS AND PORCELAIN;AMFG
BASIC INSUDTRY AND CHEMICALS;CERAMICS GLASS AND PORCELAIN;IKAI
BASIC INSUDTRY AND CHEMICALS;CERAMICS GLASS AND PORCELAIN;KIAS
BASIC INSUDTRY AND CHEMICALS;CERAMICS GLASS AND PORCELAIN;MLIA
